FADR201;CALL;PGM;PIARMI
FADR201;COPY;INCLUDE;ADR201G
FADR201;COPY;INCLUDE;FVADRD
FADR201;COPY;INCLUDE;FVADRP
FADR201;COPY;INCLUDE;FVVARP
FADR201;COPY;INCLUDE;ADR201
FADR201;COPY;INCLUDE;ARMZCOM
FADR201;COPY;INCLUDE;TVILLEBE
FADR201;COPY;INCLUDE;COMAUTO
FADR201;COPY;INCLUDE;COPCWA
FADR201;COPY;INCLUDE;ZTBADRES
FADR201;COPY;INCLUDE;ZTBBLOCN
FADR201;COPY;INCLUDE;ZTBDOPRN
FADR201;COPY;INCLUDE;DFHAID
FADR201;COPY;INCLUDE;SQLCA
FADR201;COPY;INCLUDE;WVARBLO
FADR201;COPY;INCLUDE;IBBLOCN
FADR201;COPY;INCLUDE;TBADRES
FADR201;COPY;INCLUDE;TBBLOCN
FADR201;COPY;INCLUDE;TBDOPRN
FADR201;COPY;INCLUDE;ST0000DC
FADR201;COPY;INCLUDE;ST0000DH
FADR201;DELETE;TABLE-SQL;TBADRES
FADR201;INSERT;TABLE-SQL;TBADRES
FADR201;INSERT;TABLE-SQL;TBBLOCN
FADR201;LINK;PGM;FADR201
FADR201;LINK;PGM;STENCH
FADR201;LINK;PGM;PIAUTO
FADR201;RECEIVE MAP;MAP;ADR201M
FADR201;SELECT;TABLE-SQL;TBADRES
FADR201;SELECT;TABLE-SQL;TBDOPRN
FADR201;SEND MAP;MAP;ADR201M
FADR201;UPDATE;TABLE-SQL;TBADRES
FADR201;UPDATE;TABLE-SQL;TBDOPRN
PIARMI;COPY;INCLUDE;ARMZCOM
PIARMI;COPY;INCLUDE;COPCWA
PIARMI;COPY;INCLUDE;ST0000DB
PIARMI;COPY;INCLUDE;ST0000DD
PIARMI;COPY;INCLUDE;ST3100TR
PIARMI;COPY;INCLUDE;ST9000TR
PIARMI;COPY;INCLUDE;STERREUR
PIARMI;COPY;INCLUDE;STSP00DA
PIAUTO;COPY;INCLUDE;COMAUTO
PIAUTO;COPY;INCLUDE;COMAUTO2
PIAUTO;COPY;INCLUDE;COPCWA
PIAUTO;COPY;INCLUDE;ZTBORCOL
PIAUTO;COPY;INCLUDE;SQLCA
PIAUTO;COPY;INCLUDE;TBORCOL
PIAUTO;COPY;INCLUDE;ST6000PB
PIAUTO;COPY;INCLUDE;ST0000DB
PIAUTO;COPY;INCLUDE;ST0000DD
PIAUTO;COPY;INCLUDE;ST9000TR
PIAUTO;COPY;INCLUDE;STERREUR
PIAUTO;COPY;INCLUDE;STSP00DA
PIAUTO;SELECT;TABLE-SQL;TBORCOL
PIAUTO;UPDATE;TABLE-SQL;TBORCOL
